station_name,start_s,end_s,net_change,c_s,dissatisfaction_improvement
1 Ave & E 42 St,28,28,0.0,-0.000755,-0.0
1 Ave & E 44 St,24,24,0.0,-0.009097,-0.0
10 Ave & W 28 St,32,32,0.0,0.090808,0.0
11 Ave & W 27 St,11,24,-13.0,-0.203044,2.6396
11 Ave & W 41 St,23,23,0.0,0.0,0.0
12 Ave & W 40 St,49,49,0.0,0.032879,0.0
3 Ave & E 62 St,19,19,0.0,-0.04872,-0.0
6 Ave & W 33 St,38,31,7.0,0.068346,0.4784
6 Ave & W 34 St,22,28,-6.0,-0.031161,0.187
6 Ave & W 45 St,48,48,0.0,0.056815,0.0
7 Ave & W 55 St,31,31,0.0,-0.003755,-0.0
8 Ave & W 31 St,92,38,54.0,0.283041,15.2842
8 Ave & W 33 St,39,39,0.0,0.000909,0.0
8 Ave & W 38 St,49,23,26.0,0.258062,6.7096
8 Ave & W 49 St,40,33,7.0,0.086008,0.6021
8 Ave & W 52 St,14,14,0.0,0.023097,0.0
9 Ave & W 33 St,71,39,32.0,0.16071,5.1427
9 Ave & W 39 St,25,8,17.0,0.425598,7.2352
9 Ave & W 45 St,15,15,0.0,0.006984,0.0
Broadway & W 36 St,29,36,-7.0,-0.000522,0.0037
Broadway & W 37 St,38,38,0.0,0.003082,0.0
Broadway & W 38 St,43,43,0.0,0.025427,0.0
Broadway & W 41 St,34,34,0.0,0.033827,0.0
Broadway & W 48 St,50,50,0.0,-0.000447,-0.0
Broadway & W 53 St,30,37,-7.0,-0.009093,0.0636
Central Park S & Grand Army Plaza,55,55,0.0,0.009708,0.0
E 35 St & Madison Ave,15,22,-7.0,-0.068668,0.4807
E 39 St & Lexington Ave,22,34,-12.0,-0.080955,0.9715
E 40 St & 5 Ave,54,54,0.0,0.002036,0.0
E 40 St & Park Ave,76,69,7.0,0.001025,0.0072
E 43 St & 2 Ave,3,24,-21.0,-0.206256,4.3314
E 43 St & Madison Ave,41,41,0.0,0.073077,0.0
E 44 St & 2 Ave,11,18,-7.0,-0.106145,0.743
E 44 St & Lexington Ave,35,28,7.0,0.090044,0.6303
E 45 St & 3 Ave,31,22,9.0,0.117973,1.0618
E 47 St & 1 Ave,23,23,0.0,-0.005722,-0.0
E 47 St & 2 Ave,31,31,0.0,-0.002798,-0.0
E 47 St & Park Ave,46,52,-6.0,-0.028676,0.1721
E 48 St & 3 Ave,40,40,0.0,-0.00099,-0.0
E 48 St & 5 Ave,32,53,-21.0,-0.225838,4.7426
E 50 St & Park Ave,23,23,0.0,-0.043478,-0.0
E 51 St & 1 Ave,3,16,-13.0,-0.302657,3.9345
E 51 St & 2 Ave,11,21,-10.0,-0.145578,1.4558
E 51 St & Lexington Ave,42,42,0.0,0.0,0.0
E 53 St & 3 Ave,19,19,0.0,-0.059059,-0.0
E 53 St & Lexington Ave,22,22,0.0,-0.097623,-0.0
E 53 St & Madison Ave,30,30,0.0,-0.087618,-0.0
E 54 St & 1 Ave,11,11,0.0,-0.111205,-0.0
E 55 St & 2 Ave,7,13,-6.0,-0.221215,1.3273
E 56 St & 3 Ave,33,33,0.0,-0.009849,-0.0
E 56 St & Madison Ave,17,29,-12.0,-0.302054,3.6246
E 58 St & 1 Ave (NE Corner),6,13,-7.0,-0.211701,1.4819
E 58 St & 1 Ave (NW Corner),26,26,0.0,0.000749,0.0
E 58 St & 3 Ave,19,33,-14.0,-0.19452,2.7233
E 58 St & Madison Ave,27,27,0.0,0.03816,0.0
E 61 St & Madison Ave,28,28,0.0,0.146659,0.0
E 63 St & 3 Ave,2,27,-25.0,-0.234851,5.8713
E 65 St & 2 Ave,19,19,0.0,-0.024758,-0.0
Hudson Blvd W & W 36 St,18,25,-7.0,-0.021858,0.153
Madison Ave & E 51 St,24,25,-1.0,-0.013899,0.0139
Park Ave & E 41 St,21,35,-14.0,-0.01042,0.1459
Park Ave & E 42 St,27,27,0.0,-0.021634,-0.0
W 26 St & 10 Ave,30,30,0.0,0.017833,0.0
W 29 St & 9 Ave,31,20,11.0,0.1597,1.7567
W 30 St & 10 Ave,48,29,19.0,0.248837,4.7279
W 30 St & 8 Ave,62,31,31.0,0.227989,7.0677
W 31 St & 7 Ave,79,17,62.0,0.522332,32.3846
W 33 St & 10 Ave,32,39,-7.0,-0.049386,0.3457
W 34 St & 11 Ave,69,69,0.0,0.011554,0.0
W 34 St & Hudson Blvd E,36,36,0.0,-0.0361,-0.0
W 35 St & 8 Ave,49,28,21.0,0.131904,2.77
W 35 St & 9 Ave,30,16,14.0,0.285014,3.9902
W 35 St & Dyer Ave,31,31,0.0,0.07553,0.0
W 36 St & 7 Ave,16,16,0.0,0.0,0.0
W 36 St & 9 Ave,23,23,0.0,0.024612,0.0
W 37 St & 10 Ave,10,22,-12.0,-0.284027,3.4083
W 37 St & 5 Ave,29,29,0.0,-0.011085,-0.0
W 37 St & Broadway,47,47,0.0,8e-06,0.0
W 40 St & 7 Ave,6,16,-10.0,-0.121985,1.2198
W 41 St & 8 Ave,89,6,83.0,0.661598,54.9126
W 42 St & 6 Ave,38,38,0.0,0.051653,0.0
W 42 St & 8 Ave,29,6,23.0,0.501019,11.5234
W 42 St & Dyer Ave,8,12,-4.0,-0.076334,0.3053
W 43 St & 10 Ave,37,48,-11.0,-0.003042,0.0335
W 43 St & 6 Ave,41,41,0.0,0.01013,0.0
W 44 St & 11 Ave,10,48,-38.0,-0.216516,8.2276
W 44 St & 5 Ave,43,43,0.0,0.01226,0.0
W 45 St & 8 Ave,22,22,0.0,0.0,0.0
W 46 St & 11 Ave,5,18,-13.0,-0.3999,5.1987
W 47 St & 10 Ave,4,17,-13.0,-0.300496,3.9064
W 47 St & 6 Ave,48,48,0.0,0.050396,0.0
W 47 St & 9 Ave,14,32,-18.0,-0.121978,2.1956
W 48 St &  Rockefeller Plaza,38,38,0.0,0.025577,0.0
W 49 St & 8 Ave,6,41,-35.0,-0.213068,7.4574
W 50 St & 10 Ave,20,38,-18.0,-0.178909,3.2204
W 50 St & 9 Ave,9,15,-6.0,-0.139758,0.8385
W 51 St & 6 Ave,49,49,0.0,-0.004762,-0.0
W 51 St & 7 Ave,55,55,0.0,0.006778,0.0
W 51 St & Rockefeller Plaza,31,31,0.0,-0.011721,-0.0
W 52 St & 5 Ave,40,36,4.0,0.006581,0.0263
W 52 St & 6 Ave,34,34,0.0,-0.003791,-0.0
W 54 St & 6 Ave,34,34,0.0,0.000702,0.0
W 55 St & 6 Ave,25,32,-7.0,-0.020996,0.147
W 56 St & 6 Ave,36,32,4.0,0.029929,0.1197
